name,type,true_ra_deg,true_dec_deg,pred_ra_deg,pred_dec_deg,parsed,angular_error_deg
Izar,star,221.2468,27.0742,220.4817,3.5289,1,23.5567
Enif,star,326.0465,9.8750,326.1900,9.1711,1,0.7180
Ankaa,star,6.5709,-42.3061,2.4829,-20.7711,1,21.8080
Phecda,star,178.4577,53.6948,178.4579,53.6953,1,0.0005
Sabik,star,257.5945,-15.7249,256.6621,-15.7347,1,0.8976
Scheat,star,345.9436,28.0828,341.2429,28.2000,1,4.1464
Alderamin,star,319.6449,62.5856,319.6438,62.5856,1,0.0005
Aludra,star,111.0238,-29.3031,,,0,90.0000
Markeb,star,140.5284,-55.0107,,,0,90.0000
Aljanah,star,311.5528,33.9703,3.4372,15.1843,1,50.1795
Markab,star,346.1902,15.2053,344.4125,15.7494,1,1.7976
Pleiades,other,56.6008,24.1139,56.8500,24.1167,1,0.2275
Orion Nebula,other,83.8201,-5.3876,83.8221,-5.3911,1,0.0040
Crab Nebula,other,83.6324,22.0174,83.6331,22.0145,1,0.0030
Andromeda Galaxy,other,10.6847,41.2688,10.6846,41.2692,1,0.0004
Triangulum Galaxy,other,23.4621,30.6602,23.4621,30.6600,1,0.0002
Whirlpool Galaxy,other,202.4696,47.1953,202.4696,47.1953,1,0.0000
Hercules Cluster,other,250.4235,36.4613,247.1412,17.9583,1,18.7282
Ring Nebula,other,283.3962,33.0291,283.3963,33.0292,1,0.0001
Sombrero Galaxy,other,189.9976,-11.6231,189.9975,-11.6231,1,0.0001
Beehive Cluster,other,130.0542,19.6211,130.0958,19.6833,1,0.0736
Lagoon Nebula,other,270.9042,-24.3867,270.9042,-24.3867,1,0.0000
Omega Centauri,other,201.6970,-47.4795,201.6970,-47.4795,1,0.0000
Large Magellanic Cloud,other,80.8942,-69.7561,80.8938,-69.7561,1,0.0002
Carina Nebula,other,161.2593,-59.6999,161.2833,-59.8678,1,0.1683
Tarantula Nebula,other,84.6750,-69.1000,84.6750,-69.0994,1,0.0006
