name,type,true_ra_deg,true_dec_deg,pred_ra_deg,pred_dec_deg,parsed,angular_error_deg
Alioth,star,193.5073,55.9598,195.2071,55.9581,1,0.9515
Kaus Australis,star,276.0430,-34.3846,276.4887,-34.0745,1,0.4816
Mirfak,star,51.0807,49.8612,46.3200,49.9432,1,3.0669
Dubhe,star,165.9320,61.7510,165.8517,61.7494,1,0.0381
Wezen,star,107.0978,-26.3932,107.8971,-20.7928,1,5.6481
Alkaid,star,206.8852,49.3133,206.8668,49.3130,1,0.0120
Avior,star,125.6285,-59.5095,150.2379,-59.6962,1,12.3821
Sargas,star,264.3297,-42.9978,22.9579,-10.1742,1,102.9704
Menkalinan,star,89.8822,44.9474,116.4158,20.0347,1,33.1842
Atria,star,252.1662,-69.0277,3.9349,29.6390,1,125.2498
Alhena,star,99.4280,16.3993,112.2850,20.0411,1,12.7388
Peacock,star,306.4119,-56.7351,304.3063,-60.3817,1,3.8079
Castor,star,113.6494,31.8883,113.6497,31.8882,1,0.0003
Mirzam,star,95.6749,-17.9559,93.8867,-29.5053,1,11.6642
Alphard,star,141.8968,-8.6586,194.2229,-8.6786,1,51.6839
Alsephina,star,131.1759,-54.7088,283.0746,38.1986,1,154.8566
Hamal,star,31.7934,23.4624,30.9979,23.1278,1,0.8036
Diphda,star,10.8974,-17.9866,9.4113,-15.2633,1,3.0730
Nunki,star,283.8164,-26.2967,265.2221,-22.0575,1,17.4667
Menkent,star,211.6706,-36.3700,217.4290,-62.6795,1,26.5495
Alpheratz,star,2.0969,29.0904,2.0971,29.0892,1,0.0012
Kochab,star,222.6764,74.1555,222.5029,74.1436,1,0.0489
Mirach,star,17.4330,35.6206,0.3167,30.4397,1,15.2312
Saiph,star,86.9391,-9.6696,86.7675,-9.6694,1,0.1692
Rasalhague,star,263.7336,12.5600,277.1175,12.6583,1,13.0601
Shaula,star,263.4022,-37.1038,261.3867,-35.1775,1,2.5218
Algol,star,47.0422,40.9556,47.0771,40.9008,1,0.0608
Almach,star,30.9748,42.3297,19.6347,39.5945,1,8.9814
Tiaki,star,340.6669,-46.8846,186.6825,-59.6875,1,71.3265
Polaris,star,37.9546,89.2641,37.9529,89.2642,1,0.0001
Denebola,star,177.2649,14.5721,176.8071,15.9528,1,1.4496
Aspidiske,star,139.2725,-59.2752,279.9748,40.2277,1,148.9857
Naos,star,120.8960,-40.0031,114.3392,-28.6167,1,12.5993
Alphecca,star,233.6720,26.7147,234.7808,27.6234,1,1.3412
Mizar,star,200.9814,54.9254,201.0479,55.1978,1,0.2750
Sadr,star,305.5571,40.2567,305.6625,40.7347,1,0.4847
Suhail,star,136.9990,-43.4326,124.7496,-41.5379,1,9.2208
Eltanin,star,269.1515,51.4889,269.7496,45.8364,1,5.6662
Schedar,star,10.1268,56.5373,9.5675,56.5547,1,0.3088
Mintaka,star,83.0017,-0.2991,81.0604,-2.3361,1,2.8135
Caph,star,2.2945,59.1498,11.0979,58.8319,1,4.5431
Dschubba,star,240.0834,-22.6217,259.1375,-10.0792,1,22.1285
Larawag,star,252.5409,-34.2932,247.4125,-34.6167,1,4.2406
Merak,star,165.4603,56.3824,165.4604,56.3839,1,0.0015
Izar,star,221.2468,27.0742,200.9687,38.7825,1,20.5814
Enif,star,326.0465,9.8750,311.9054,12.6647,1,14.1434
Ankaa,star,6.5709,-42.3061,54.9046,-11.2397,1,52.1629
Phecda,star,178.4577,53.6948,166.4458,55.6803,1,7.2111
Sabik,star,257.5945,-15.7249,337.3329,58.3981,1,98.1042
Scheat,star,345.9436,28.0828,343.3571,38.7822,1,10.9135
Alderamin,star,319.6449,62.5856,328.4825,62.2103,1,4.1086
Aludra,star,111.0238,-29.3031,98.8283,-29.3408,1,10.6282
Markeb,star,140.5284,-55.0107,23.8767,-5.7567,1,100.0057
Aljanah,star,311.5528,33.9703,9.9000,-9.6753,1,70.4209
Markab,star,346.1902,15.2053,346.2512,15.1667,1,0.0705
Pleiades,other,56.6008,24.1139,56.8679,24.1167,1,0.2438
Orion Nebula,other,83.8201,-5.3876,83.8221,-5.3911,1,0.0040
Crab Nebula,other,83.6324,22.0174,83.6500,22.0167,1,0.0163
Andromeda Galaxy,other,10.6847,41.2688,10.6846,41.2689,1,0.0001
Triangulum Galaxy,other,23.4621,30.6602,23.4621,30.6564,1,0.0038
Whirlpool Galaxy,other,202.4696,47.1953,202.4683,47.1953,1,0.0009
Hercules Cluster,other,250.4235,36.4613,250.4221,36.4599,1,0.0018
Ring Nebula,other,283.3962,33.0291,283.3967,33.0292,1,0.0004
Sombrero Galaxy,other,189.9976,-11.6231,190.0000,11.6167,1,23.2398
Beehive Cluster,other,130.0542,19.6211,130.0658,19.9922,1,0.3713
Lagoon Nebula,other,270.9042,-24.3867,270.4475,-24.6878,1,0.5131
Omega Centauri,other,201.6970,-47.4795,201.6908,-47.4772,1,0.0047
Large Magellanic Cloud,other,80.8942,-69.7561,80.8927,-69.7561,1,0.0005
Carina Nebula,other,161.2593,-59.6999,161.2500,-59.8333,1,0.1335
Tarantula Nebula,other,84.6750,-69.1000,84.6771,-69.0972,1,0.0029
